,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C)
0,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-01,2015,1,1,3.4,-5.2,-0.9
1,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-02,2015,1,2,3.6,0.1,1.9
2,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-03,2015,1,3,3.8,0.5,2.2
3,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-04,2015,1,4,6.5,1.7,4.1
4,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-05,2015,1,5,9.2,4.7,7
5,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-06,2015,1,6,11.5,3.4,7.5
6,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-07,2015,1,7,7.2,3.7,5.5
7,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-08,2015,1,8,5.1,3.3,4.2
8,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-09,2015,1,9,8.1,2,5.1
9,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-10,2015,1,10,6.9,5.5,6.2
10,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-11,2015,1,11,7.4,5.8,6.6
11,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-12,2015,1,12,8.1,1.8,5
12,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-13,2015,1,13,5.2,1,3.1
13,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-14,2015,1,14,4.4,-2.1,1.2
14,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-15,2015,1,15,8.8,-0.4,4.2
15,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-16,2015,1,16,11.4,6.7,9.1
16,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-17,2015,1,17,9.2,2.8,6
17,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-18,2015,1,18,10.3,6.5,8.4
18,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-19,2015,1,19,10.1,2,6.1
19,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-20,2015,1,20,8.5,1,4.8
20,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-21,2015,1,21,6.6,-1.4,2.6
21,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-22,2015,1,22,8.3,5.1,6.7
22,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-23,2015,1,23,11.5,8,9.8
23,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-24,2015,1,24,12,10.2,11.1
24,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-25,2015,1,25,14.1,5.6,9.9
25,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-26,2015,1,26,12.5,4.4,8.5
26,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-27,2015,1,27,11.5,6.6,9.1
27,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-28,2015,1,28,10,2,6
28,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-29,2015,1,29,8.7,1.2,5
29,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-30,2015,1,30,7.1,-0.1,3.5
30,-123.18,49.19,VANCOUVER INTL A,1108395,2015-01-31,2015,1,31,6.4,3.5,5
31,-123.18,49.19,VANCOUVER INTL A,1108395,2015-02-01,2015,2,1,8.9,5.2,7.1
32,-123.18,49.19,VANCOUVER INTL A,1108395,2015-02-02,2015,2,2,8.4,7.1,7.8
33,-123.18,49.19,VANCOUVER INTL A,1108395,2015-02-03,2015,2,3,9.3,6.3,7.8
34,-123.18,49.19,VANCOUVER INTL A,1108395,2015-02-04,2015,2,4,8.5,3,5.8
35,-123.18,49.19,VANCOUVER INTL A,1108395,2015-02-05,2015,2,5,12.6,7.1,9.9
